#{'API version': '0.1.2', 'Channels': [1, 2, 3, 4, 5, 6], 'Channels indexes mV': [6, 8, 10, 12, 14, 16], 'Channels indexes raw': [5, 7, 9, 11, 13, 15], 'Channels labels': ['AI1_raw', 'AI1_mv', 'AI2_raw', 'AI2_mv', 'AI3_raw', 'AI3_mv', 'AI4_raw', 'AI4_mv', 'AI5_raw', 'AI5_mv', 'AI6_raw', 'AI6_mv'], 'Device': 'COM14', 'Firmware version': '1.0', 'Header': ['NSeq', 'I1', 'I2', 'O1', 'O2', 'AI1_raw', 'AI1_mv', 'AI2_raw', 'AI2_mv', 'AI3_raw', 'AI3_mv', 'AI4_raw', 'AI4_mv', 'AI5_raw', 'AI5_mv', 'AI6_raw', 'AI6_mv'], 'ISO 8601': '2022-05-11T16:10:57.031185', 'Resolution (bits)': [4, 1, 1, 1, 1, 12, 12, 12, 12, 12, 12], 'Sampling rate (Hz)': 1000, 'Timestamp': 1652281857.031185}
#NSeq	I1	I2	O1	O2	AI1_raw	AI1_mv	AI2_raw	AI2_mv	AI3_raw	AI3_mv	AI4_raw	AI4_mv	AI5_raw	AI5_mv	AI6_raw	AI6_mv
0	0	0	0	0	1780	1706	0	254	0	254	0	254	0	254	0	254
1	0	0	0	0	1774	1699	0	254	0	254	0	254	0	254	0	254
2	0	0	0	0	1749	1679	0	254	0	254	0	254	0	254	0	254
3	0	0	0	0	1727	1662	0	254	0	254	0	254	0	254	0	254
4	0	0	0	0	1697	1638	0	254	0	254	0	254	0	254	0	254
5	0	0	0	0	1667	1614	0	254	0	254	0	254	0	254	0	254
6	0	0	0	0	1642	1594	0	254	0	254	0	254	0	254	0	254
7	0	0	0	0	1616	1573	0	254	0	254	0	254	0	254	0	254
8	0	0	0	0	1599	1556	0	254	0	254	0	254	0	254	0	254
9	0	0	0	0	1588	1549	0	254	0	254	0	254	0	254	0	254
10	0	0	0	0	1580	1543	0	254	0	254	0	254	0	254	0	254
11	0	0	0	0	1581	1543	0	254	0	254	0	254	0	254	0	254
12	0	0	0	0	1582	1543	0	254	0	254	0	254	0	254	0	254
13	0	0	0	0	1588	1549	0	254	0	254	0	254	0	254	0	254
14	0	0	0	0	1600	1560	0	254	0	254	0	254	0	254	0	254
15	0	0	0	0	1613	1570	0	254	0	254	0	254	0	254	0	254
0	0	0	0	0	1625	1580	0	254	0	254	0	254	0	254	0	254
1	0	0	0	0	1637	1590	0	254	0	254	0	254	0	254	0	254
2	0	0	0	0	1648	1597	0	254	0	254	0	254	0	254	0	254
3	0	0	0	0	1654	1604	0	254	0	254	0	254	0	254	0	254
4	0	0	0	0	1664	1611	0	254	0	254	0	254	0	254	0	254
5	0	0	0	0	1667	1614	0	254	0	254	0	254	0	254	0	254
6	0	0	0	0	1668	1614	0	254	0	254	0	254	0	254	0	254
7	0	0	0	0	1669	1614	0	254	0	254	0	254	0	254	0	254
